"x"
"IGFBP3"
"IGFBP5"
"CCND1"
"S100A6"
"MTSS1"
"LOXL2"
"HSPD1"
"H3-3A"
"STRN"
"PENK"
"PTGS2"
"VEGFA"
"PLCG2"
"ATP2B4"
