"x"
"NIBAN1"
"IGFBP3"
"PGK1"
"PARP14"
"SLIT2"
"IGFBP5"
"GAPDH"
"EEF1A1"
"ENO1"
"S100A10"
"RIGI"
"VEGFA"
"LDHA"
"TPI1"
"CCND1"
"PNPT1"
"LOXL2"
"H3-3A"
"ATP2B4"
"STC2"
"PTGS2"
"PLCG2"
