"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0045137","development of primary sexual characteristics",83,-0.459021490208747,-1.67617799458512,0.0013384279946107,0.0241209283053043,0.0193061837483631,1129,"tags=35%, list=18%, signal=29%","3295/8894/3624/25976/4254/3021/546/7046/22836/2241/7130/6586/8648/22862/5879/59338/8531/7110/4089/1495/3643/4313/9510/4323/10184/595/3020/9353/7422","Development"
"GO:0010001","glial cell differentiation",98,-0.432774651153049,-1.61314242493225,0.00134559318232788,0.0241209283053043,0.0193061837483631,1382,"tags=35%, list=22%, signal=27%","6659/5270/6774/5534/8450/5339/9948/9334/3949/2043/56288/4779/9839/5795/2824/7846/5594/5604/1000/9215/5764/3572/1191/4774/6009/9444/2950/7431/5894/928/3398/10397/3908/664","Development"
"GO:0019369","arachidonate metabolic process",7,-0.839077725325475,-1.78612046656276,0.00140361821584529,0.0247830340907152,0.0198361275296389,216,"tags=43%, list=3%, signal=41%","11343/4259/5743","Metabolism"
"GO:0070885","negative regulation of calcineurin-NFAT signaling cascade",7,-0.836325387972309,-1.78026164570624,0.00148159700561447,0.0256913343451178,0.0205631232483869,173,"tags=57%, list=3%, signal=56%","8445/1827/2274/493","Signaling"
"GO:0106057","negative regulation of calcineurin-mediated signaling",7,-0.836325387972309,-1.78026164570624,0.00148159700561447,0.0256913343451178,0.0205631232483869,173,"tags=57%, list=3%, signal=56%","8445/1827/2274/493","Signaling"
"GO:0001649","osteoblast differentiation",119,-0.417882840932856,-1.5916653377912,0.00147823706542568,0.0256913343451178,0.0205631232483869,1500,"tags=37%, list=24%, signal=29%","222663/3397/56975/1490/51430/57003/3399/3376/55366/3295/23317/3021/3727/25819/103/51564/7130/7171/1213/5701/10413/657/1660/55603/27316/3572/4089/7424/117581/3192/1277/23560/5978/4088/1192/3398/4015/2201/2274/3486/3488/3020/5179/7422","Development"
"GO:0030335","positive regulation of cell migration",241,-0.367028198863267,-1.48661931963837,0.00159538881169266,0.0266310735836857,0.0213152824599107,1286,"tags=32%, list=21%, signal=26%","9943/57142/284361/6789/81029/3146/9475/5286/10457/64750/83700/4254/8874/8650/7082/9590/7046/116150/2303/7423/2241/3315/11235/4267/51564/7130/2043/23224/961/1398/2771/3725/5879/5795/91663/253260/5594/5604/79647/5154/375056/5764/71/3958/2821/857/977/811/7049/7424/3643/3688/117581/7494/4313/9510/301/8829/3678/5216/1277/3312/6648/4323/5034/4088/6282/10399/1012/6678/3309/2549/7114/3488/5336/5743/7422","Migration"
"GO:0097720","calcineurin-mediated signaling",23,-0.62145290696941,-1.79654419273151,0.00162085500101303,0.0267100796272121,0.0213785182182631,1311,"tags=43%, list=21%, signal=34%","5534/23261/121665/8445/5533/801/1827/2274/5336/493","Signaling"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",32,-0.577003178770409,-1.78821052555877,0.00168677825353575,0.0274467643551517,0.0219681543442942,883,"tags=31%, list=14%, signal=27%","2303/7423/3315/2534/7424/7494/8829/3678/2887/7422","Signaling"
"GO:0019216","regulation of lipid metabolic process",110,-0.41963134711527,-1.58443629589757,0.00171393818764859,0.0274781562747072,0.0219932801669609,1122,"tags=30%, list=18%, signal=25%","9555/5165/2181/5465/158219/8473/653/51141/79718/3949/10499/4779/8720/10299/23175/5594/57674/66036/5154/10577/857/7494/9444/5163/5660/5978/950/3398/476/3638/5230/5336/5743","Metabolism"
"GO:0007267","cell-cell signaling",367,-0.340441930833566,-1.40870202171453,0.00171621826258139,0.0274781562747072,0.0219932801669609,1485,"tags=29%, list=24%, signal=24%","84896/6856/8091/9921/111/4040/2258/6659/5270/8867/6197/22839/6774/5534/9885/4983/9097/9581/57142/5573/10457/781/5007/3624/5868/23095/6814/11252/5906/1407/9590/1182/11245/4087/10052/4297/3156/114781/1627/7130/2043/8087/1837/22883/6780/613/2771/5879/94056/2778/5594/54407/286097/9215/3710/5154/5764/5071/3708/2534/9456/783/55737/801/4012/375/5334/7110/23236/4089/5789/399979/27067/3688/81539/27020/2903/301/8829/27230/3992/4301/2697/5376/5216/104/2257/6505/1072/51167/5978/11337/9990/64855/5894/22849/3908/488/6792/1129/22871/10135/4282/6533/287/6262/5179/5743","Signaling"
"GO:0048009","insulin-like growth factor receptor signaling pathway",28,-0.588654524946439,-1.7748417030547,0.00178241351993663,0.0282897271511253,0.0226428545227497,591,"tags=32%, list=9%, signal=29%","5594/3482/5604/3487/23236/5894/2887/3486/3488","Signaling"
"GO:0006753","nucleoside phosphate metabolic process",238,-0.366521943858396,-1.48299827676058,0.00185480962440105,0.0291994284773596,0.0233709716473526,1495,"tags=33%, list=24%, signal=26%","5236/9060/7360/111/8813/56474/5142/5238/6774/3094/4729/23530/48/23786/23433/4508/3157/4731/51727/3295/29922/9759/9555/5144/5165/7086/2181/25819/4538/5740/5465/8050/6888/8473/3098/55711/3156/514/11163/1743/84833/50484/23443/509/9583/5150/4907/25996/4705/5604/10413/79646/5071/2821/57089/7415/7358/79631/4831/3643/84188/4976/2617/5315/5163/3312/6675/8870/5214/10135/5901/7114/4624/3939/5230/2023/2597/7167","Metabolism"
"GO:0008406","gonad development",82,-0.447575586881608,-1.63150039287014,0.00194663918470171,0.0300745399572665,0.0240714033561798,1129,"tags=34%, list=18%, signal=28%","3295/8894/3624/25976/4254/3021/546/7046/22836/2241/7130/6586/8648/22862/5879/59338/8531/7110/4089/1495/3643/4313/9510/4323/595/3020/9353/7422","Development"
"GO:0008610","lipid biosynthetic process",247,-0.363605782822649,-1.47522164207073,0.00195212164800164,0.0300792431120466,0.0240751677208523,1471,"tags=32%, list=24%, signal=25%","9218/8813/9375/142891/9896/9926/54764/8867/22863/5289/9110/10728/9334/5286/6309/3157/3295/2531/5007/3624/2181/56994/9517/3628/5740/5465/207063/2222/8473/23049/56895/653/51141/55300/116150/55711/3156/3949/8720/56894/10299/2224/253260/23175/5594/8821/65084/5337/166929/9215/54675/51097/5154/253017/57515/729920/10402/7494/5359/84188/5825/9444/3992/54928/11343/9107/2950/5978/5087/6713/6307/6319/476/231/3638/4282/5336/5743","Metabolism"
"GO:0006954","inflammatory response",253,-0.363102408425376,-1.47484094891426,0.00200184785956267,0.0304163277402512,0.0243449673607541,1346,"tags=29%, list=22%, signal=24%","55829/6774/9180/9097/64332/57142/3428/7132/3146/29954/1326/83700/9759/9867/329/5740/5465/8473/5682/3098/3949/975/7130/8087/4779/961/3516/613/3725/26524/5879/9839/26060/647087/2778/253260/4792/5610/4907/5594/145581/9655/8452/9215/5764/1660/624/2534/57410/55737/8737/3572/1540/10959/10758/1191/3688/5359/3656/301/11343/3312/2950/4088/9258/8870/10135/3956/7076/7114/1654/4282/5336/5743","Immune"
"GO:0072359","circulatory system development",525,-0.320453676540871,-1.34354138208635,0.00200541461947258,0.0304163277402512,0.0243449673607541,1435,"tags=30%, list=23%, signal=25%","170506/6786/1490/4853/11064/51330/3964/6659/10253/59343/204851/51668/2280/6774/5534/5339/144455/3399/57142/284361/10163/4729/6789/7132/3146/9475/5286/5573/10457/7837/4634/83700/54583/3716/55717/6546/3624/25976/5740/11252/5465/10787/7082/5906/4087/7046/79602/653/28996/157378/10052/116150/2303/57538/7423/3315/730094/3949/7763/25932/11235/34/51564/26146/55109/91584/6586/961/3516/88/10672/8325/1281/84700/3725/8932/5879/5795/6050/11096/115701/5350/6301/8841/5594/57674/5604/10413/1000/9215/657/9821/196740/5154/375056/54206/196528/71/56005/2534/4666/857/811/6672/27295/7403/10959/10758/4089/10529/7049/7424/7453/3643/3688/7534/7494/4313/9510/301/8829/3720/9444/3678/5315/3192/2697/1277/2257/6505/6648/4323/5978/11155/4088/9990/290/1012/9369/6678/3398/57493/2066/4015/7273/2549/8470/2274/4624/287/4017/5230/7139/70/6262/493/5743/9353/7422","Development"
"GO:0021543","pallium development",93,-0.430793697673989,-1.59625089777123,0.00202839756592292,0.0305256785644471,0.0244324908208067,808,"tags=24%, list=13%, signal=21%","8087/23224/8648/1398/1281/5879/9839/7531/83696/7846/54407/1000/9215/2534/23236/1459/1072/4677/5901/664/493/9353","Development"
"GO:0050848","regulation of calcium-mediated signaling",34,-0.56148557381571,-1.76133204143051,0.00206252014179826,0.0306175156012818,0.0245059963959486,1311,"tags=47%, list=21%, signal=37%","5534/23261/121665/3094/51643/8445/5533/5795/3064/3708/801/1827/1012/2274/5336/493","Signaling"
"GO:0071675","regulation of mononuclear cell migration",50,-0.508682896706201,-1.71779291534104,0.00207900207900208,0.0306520890277235,0.0245336686693887,1286,"tags=42%, list=21%, signal=34%","9943/57142/3146/83700/653/975/961/613/1398/5795/5594/79647/375056/3958/811/23236/4323/5034/928/4282/9353","Migration"
"GO:0050727","regulation of inflammatory response",116,-0.415142574558817,-1.57618144494078,0.00208768267223382,0.030702148463307,0.0245737358114771,1346,"tags=35%, list=22%, signal=28%","55829/6774/9180/64332/3428/7132/1326/329/5740/5465/5682/3949/975/7130/8087/4779/961/613/2778/253260/4792/4907/5594/145581/9655/1660/2534/55737/8737/3572/1540/301/11343/2950/4088/9258/8870/3956/7114/5336/5743","Immune"
"GO:0044843","cell cycle G1/S phase transition",116,-0.414560757775748,-1.57397244766123,0.00214262168992418,0.0313513586820393,0.0250933580919929,2055,"tags=41%, list=33%, signal=28%","1981/4921/1029/79791/5728/143384/5310/57695/5925/5515/5932/896/5934/4193/29117/11186/51692/9978/59343/6601/8450/144455/2273/10457/3624/586/51065/26524/894/26060/58190/8453/8452/6595/196528/79027/23236/3688/9510/301/3398/60/7114/1654/595/5336/493","Cell cycle"
"GO:0046885","regulation of hormone biosynthetic process",10,-0.754342792010694,-1.77797543037027,0.00216369469521749,0.031422256211296,0.0251501038651991,155,"tags=40%, list=2%, signal=39%","653/5978/476/8614","Metabolism"
"GO:0010894","negative regulation of steroid biosynthetic process",10,-0.753613352604491,-1.7762561518726,0.00223830485712154,0.0316305122679289,0.0253167902234177,908,"tags=60%, list=15%, signal=51%","653/51141/10299/5978/476/3638","Metabolism"
"GO:0045939","negative regulation of steroid metabolic process",10,-0.753613352604491,-1.7762561518726,0.00223830485712154,0.0316305122679289,0.0253167902234177,908,"tags=60%, list=15%, signal=51%","653/51141/10299/5978/476/3638","Metabolism"
"GO:0009150","purine ribonucleotide metabolic process",137,-0.399628042891372,-1.54451604441007,0.00221418156288816,0.0316305122679289,0.0253167902234177,1321,"tags=32%, list=21%, signal=26%","6774/3094/4729/23786/23433/4508/4731/29922/9759/5144/4538/5465/8473/3098/514/11163/84833/509/9583/5150/4907/4705/5604/10413/5071/2821/57089/7415/79631/4831/3643/4976/5315/3312/8870/5214/5901/7114/4624/3939/5230/2023/2597/7167","Metabolism"
"GO:0019637","organophosphate metabolic process",393,-0.332975601764243,-1.38229597732122,0.00221562012185911,0.0316305122679289,0.0253167902234177,1516,"tags=31%, list=24%, signal=25%","8503/253430/5236/9060/7360/9218/111/8813/142891/56474/81579/9896/5142/5238/9926/54764/8867/6774/3094/22863/5289/4729/23530/9110/48/23786/23433/5286/4508/3157/4731/51727/3295/29922/9759/9555/5007/5144/5165/7086/2181/56994/114882/9517/3628/25819/4538/5740/5465/8050/207063/6888/2222/8473/23049/56895/3098/55300/116150/55711/3156/514/3949/11163/1743/4779/9588/84833/56894/50484/23443/2224/509/9583/5150/23175/4907/25996/4705/8821/66036/5604/5337/10413/166929/54675/79646/5154/5071/57515/2821/57089/7415/5334/7358/23236/79631/4831/3643/7494/5359/84188/4976/2617/3992/5315/54928/5163/3312/9107/6675/8870/5214/10135/5901/7114/4624/3939/5230/2023/2597/5336/7167","Metabolism"
"GO:0006163","purine nucleotide metabolic process",164,-0.383017994017648,-1.50655765242877,0.00227899088403646,0.0319774348921928,0.025594464110829,1321,"tags=32%, list=21%, signal=26%","6774/3094/4729/23530/48/23786/23433/4508/4731/29922/9759/9555/5144/7086/25819/4538/5740/5465/6888/8473/3098/514/11163/84833/509/9583/5150/4907/4705/5604/10413/5071/2821/57089/7415/79631/4831/3643/4976/5315/3312/8870/5214/10135/5901/7114/4624/3939/5230/2023/2597/7167","Metabolism"
"GO:0061458","reproductive system development",107,-0.416800735020166,-1.5681517959695,0.00233035565666093,0.032462916090032,0.0259830390899188,1157,"tags=32%, list=18%, signal=26%","55366/3295/8894/3624/25976/4254/3021/546/7046/22836/653/2241/7130/6586/8648/22862/5879/118429/59338/54206/8531/7110/4089/1495/3643/4313/9510/4323/5660/54477/595/3020/9353/7422","Development"
"GO:0007186","G protein-coupled receptor signaling pathway",174,-0.378802839403875,-1.49748582464104,0.00237166649098767,0.0328024063003509,0.026254764137074,1187,"tags=30%, list=19%, signal=25%","9475/5573/55366/5144/26575/23516/57561/1407/9590/11245/23365/334/56288/5567/6586/88/10672/8325/2771/5879/340481/2778/23266/5350/5594/9815/3482/3710/3708/624/2534/9456/55737/801/857/23236/2869/3643/202018/301/5139/8323/57528/11343/6505/5660/10399/1129/5179/493/9353/7422","Signaling"
"GO:0055006","cardiac cell development",50,-0.506522876876653,-1.71049865248255,0.00238473767885533,0.0329048484001677,0.0263367579134991,1084,"tags=38%, list=17%, signal=32%","6546/3624/5465/57538/88/84700/115701/9215/657/4089/10529/7049/3192/7273/8470/2274/4624/70/7422","Development"
"GO:0070884","regulation of calcineurin-NFAT signaling cascade",19,-0.649113236185623,-1.79682359738022,0.00242886884108258,0.0332044567636733,0.0265765618731633,1311,"tags=47%, list=21%, signal=38%","5534/23261/121665/8445/5533/1827/2274/5336/493","Signaling"
"GO:0106056","regulation of calcineurin-mediated signaling",19,-0.649113236185623,-1.79682359738022,0.00242886884108258,0.0332044567636733,0.0265765618731633,1311,"tags=47%, list=21%, signal=38%","5534/23261/121665/8445/5533/1827/2274/5336/493","Signaling"
"GO:0006629","lipid metabolic process",432,-0.32643029174595,-1.35949698130931,0.00241290906348967,0.0332044567636733,0.0265765618731633,1694,"tags=33%, list=27%, signal=26%","5290/8904/28976/824/79966/60481/115908/26061/10087/3667/23352/8394/1666/3074/29103/8503/253430/9218/549/8813/9375/142891/81579/1352/9896/9926/54764/10891/8867/339761/285148/9885/22863/5289/9110/7132/10728/219970/9334/5286/6309/3157/3295/9555/2531/5007/5165/10478/57579/3624/2181/25976/56994/586/114882/84129/9517/3628/5740/5465/158219/207063/2222/8473/23049/56895/79602/653/51141/55300/116150/79718/55711/3156/3949/10499/34/4779/25948/9588/8720/1398/56894/10299/2224/5049/253260/23175/5594/6646/57674/285362/8821/65084/66036/5337/59338/166929/9215/54675/114883/51097/5154/54206/253017/57515/10577/729920/857/5334/10402/23461/23236/1191/6400/7494/5359/84188/5139/5825/9444/3992/54928/11343/5163/9107/5660/2950/5978/5087/6713/6307/950/3398/6319/476/231/3638/4259/4282/5230/5336/5743","Metabolism"
"GO:1902692","regulation of neuroblast proliferation",15,-0.67945213999193,-1.7775391495281,0.00249358791678541,0.0336866330432708,0.026962491624091,489,"tags=33%, list=8%, signal=31%","5764/1495/7424/3688/7422","Cell cycle"
"GO:2000179","positive regulation of neural precursor cell proliferation",16,-0.67140638514684,-1.78499685140098,0.00253986171863976,0.0340740340036452,0.0272725640239014,730,"tags=31%, list=12%, signal=28%","2771/7424/3688/4673/7422","Cell cycle"
"GO:0008202","steroid metabolic process",93,-0.428490326336359,-1.58771605015056,0.00259184133423484,0.034532124565528,0.0276392157733349,1179,"tags=34%, list=19%, signal=28%","6309/3157/3295/5007/3624/25976/158219/2222/653/51141/3156/3949/4779/8720/10299/2224/5594/6646/59338/114883/54206/10577/23461/5825/9444/5978/5087/6713/6307/476/231/3638","Metabolism"
"GO:0050673","epithelial cell proliferation",172,-0.37759431706793,-1.49044695298752,0.00264089156499234,0.0350249751165308,0.0280336891193732,932,"tags=24%, list=15%, signal=21%","7046/653/116150/7423/11235/55109/5813/3516/3725/9839/253260/687/5594/5604/10413/657/196740/5764/54206/56005/3487/857/4831/7049/7424/7494/8829/4323/4088/1012/5894/6678/3398/2066/567/595/9788/4017/3486/3488/7422","Cell cycle"
"GO:0050849","negative regulation of calcium-mediated signaling",9,-0.76795638158572,-1.75399585834323,0.00273244781783681,0.0360745213041228,0.0288737368693426,472,"tags=56%, list=8%, signal=51%","8445/3708/1827/2274/493","Signaling"
"GO:0072012","glomerulus vasculature development",12,0.689588557672828,1.96941467913207,0.0027403978282109,0.0360974398731908,0.0288920806950891,236,"tags=50%, list=4%, signal=48%","284/59/5159/3280/1909/8837","Development"
"GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation",18,-0.651699615567963,-1.7845557698474,0.00277816363383803,0.0361953582114411,0.0289704536916283,730,"tags=44%, list=12%, signal=39%","2771/3725/657/7494/4313/9510/2697/3488","Cell cycle"
"GO:0046456","icosanoid biosynthetic process",13,-0.700693499967854,-1.76389325357559,0.00275581985640728,0.0361953582114411,0.0289704536916283,226,"tags=46%, list=4%, signal=45%","10728/5740/3992/4259/4282/5743","Metabolism"
"GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",10,-0.745283707513732,-1.75662329467303,0.0027605759904499,0.0361953582114411,0.0289704536916283,477,"tags=50%, list=8%, signal=46%","5071/7009/7494/4976/9709","Signaling"
"GO:0021782","glial cell development",49,-0.50312112865233,-1.69243680853858,0.00282295182571341,0.0364411714568204,0.0291672005009968,1382,"tags=35%, list=22%, signal=27%","6659/5534/5339/9334/3949/56288/9839/2824/5594/5604/1191/2950/7431/5894/928/3398/10397","Development"
"GO:0048732","gland development",160,-0.382129644150699,-1.49954209379252,0.0028192988988776,0.0364411714568204,0.0291672005009968,1570,"tags=36%, list=25%, signal=28%","4781/6926/7042/6430/8091/1896/4853/5270/8140/144455/57142/5307/22890/5253/2909/3184/5465/5906/7046/28996/34/8648/3516/3725/340481/5594/9423/3482/5604/8452/657/9821/5154/5764/54206/4124/857/4089/4513/7049/3643/1459/7494/4313/59277/8829/3720/6648/5660/4088/5087/5894/3398/2066/595/87178/3488/7422","Development"
"GO:0002092","positive regulation of receptor internalization",13,-0.699302140310063,-1.76039070943356,0.00297338458191312,0.0374672256753434,0.029988445480786,317,"tags=31%, list=5%, signal=29%","3643/967/5336/7422","Signaling"
"GO:0042743","hydrogen peroxide metabolic process",13,-0.697259069507914,-1.75524757794361,0.00297338458191312,0.0374672256753434,0.029988445480786,1321,"tags=69%, list=21%, signal=55%","6774/23530/7837/7295/9588/5879/2534/5052/6648","Metabolism"
