"x"
"CCND1"
"LOXL2"
"IGFBP3"
"PGK1"
"IGFBP5"
"BNIP3"
"ATP2B4"
"LRRTM4"
"STC2"
"S100A10"
"PTGS2"
"SLIT2"
"VEGFA"
"MTSS1"
"TNNT2"
"ACTC1"
"ANK2"
"H3-3A"
"PENK"
"PNPT1"
"SLC1A3"
