"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0007417","central nervous system development",398,-0.384058963823262,-1.61394581453868,5.7330935191926e-06,0.000463250105909971,0.000405438933825778,1462,"tags=30%, list=22%, signal=25%","998/2737/2186/5108/6197/84100/1950/657/4041/3066/79971/4781/81853/57178/57560/3516/57721/57688/5604/6872/2909/3624/221692/1499/2064/5090/686/79925/2309/6310/6774/7048/6659/57142/6926/55212/655/3251/57045/5087/2934/805/27145/9919/4211/5915/6455/3212/2316/22882/9612/2560/30837/3939/56034/3949/8613/2908/57057/10395/91584/6009/6092/4212/7360/5101/23030/10370/57551/1398/55122/2146/2260/6422/9620/5274/104/653/5594/10100/1009/9037/9693/2534/2736/57211/10313/2131/4862/4919/140733/54407/145173/357/2824/8829/8543/5578/6457/5362/1600/27185/339479/6095/664/57477/1272/9378/6387/2562/2043/9353/53942/3912/26011/6695/238/161357","Development"
"GO:0051962","positive regulation of nervous system development",112,-0.511619341747593,-1.92301874210032,8.29035840036797e-06,0.000634157148572148,0.000555017678172003,1237,"tags=36%, list=19%, signal=30%","51330/57698/5604/1002/57154/1499/22883/6310/6792/6498/23316/1523/26230/23394/347731/80059/23011/6009/6092/4131/9175/9037/8829/1946/7422/147381/5789/64084/5578/53335/27185/11141/7052/23768/9378/6387/9423/2043/9353/26011","Development"
"GO:1901342","regulation of vasculature development",105,-0.520604664828916,-1.94410896277482,8.41805048287676e-06,0.000635452047635052,0.000556150980655431,1282,"tags=46%, list=19%, signal=38%","7082/285/102/92140/51330/3099/1499/2064/7046/4780/6774/7048/57142/3728/90139/8817/28996/4879/6667/2113/54583/65125/5315/7060/306/90627/10769/10253/56999/6422/83605/9037/57556/2534/57211/5587/8829/3315/5230/7422/5578/7052/23670/2013/6387/7042/5140/147372","Development"
"GO:0043534","blood vessel endothelial cell migration",58,-0.604849508519313,-2.06677016769295,1.02627978754568e-05,0.000745286979892352,0.000652279092150954,1098,"tags=40%, list=16%, signal=33%","4780/3728/8817/6667/6868/1460/2113/90627/10769/2260/30844/1948/5587/8503/8829/3315/7422/5578/949/4627/2013/9353/284","Migration"
"GO:0045595","regulation of cell differentiation",606,-0.352037204869043,-1.50377479362999,1.27016547103452e-05,0.000899622136706796,0.00078735403467637,1628,"tags=33%, list=24%, signal=27%","4088/5894/51265/57630/4904/57534/51441/27031/23476/5590/7532/2734/201501/6772/25937/26013/387/4739/348093/55603/6461/23240/10979/2737/5108/55294/6601/865/6197/6093/657/4217/4041/3066/83737/663/5518/57178/3908/6648/23788/8289/3516/57721/51330/5787/1432/8848/5978/161882/57698/6272/5604/1002/3624/57154/1499/2064/7046/91807/29102/171023/4017/2309/6310/4780/6774/6431/6792/7048/6498/6659/54517/9181/124936/57142/25805/6046/6926/23522/23316/8904/1523/655/90864/64769/9991/8817/2201/3481/57045/5087/80349/26230/23394/7204/93649/4211/8451/5915/57459/7716/284273/22882/51232/55012/9759/9472/3949/2113/57057/9794/3992/6760/1760/23011/81792/6009/2308/405/3717/1289/6092/4212/4131/81606/9175/677/857/4077/55122/2651/79577/2146/79647/10253/56999/182/2260/6422/115825/55818/255743/653/5594/63976/10848/90/9037/9693/2736/81029/54815/55795/1948/3707/1040/9745/5587/406/8829/222663/130733/9464/1052/1946/7422/144165/5789/302/28959/9315/23081/5578/6457/1600/53335/27185/11141/5318/339479/7052/6095/5295/2013/10766/6387/7042/64332/9423/10252/54756/2043/9353/1290/3912/26011/238/2042","Development"
"GO:0008347","glial cell migration",27,-0.721747567291262,-2.12902982874429,1.3829068130596e-05,0.000967528827624748,0.000846786328407483,385,"tags=56%, list=6%, signal=53%","57178/5787/1499/57142/30837/22800/2534/1600/27185/4147/7042/9423/2043/147495/3912","Migration"
"GO:0048762","mesenchymal cell differentiation",109,-0.506804796654083,-1.89885315536052,1.57373017802984e-05,0.00108776988329605,0.000952021933950836,1810,"tags=50%, list=27%, signal=37%","4139/23332/84148/55625/6910/4088/202018/1000/6772/25937/10979/998/6093/657/9978/3066/3516/1499/7046/65979/4017/7048/57142/23272/25805/6926/655/90864/57057/4684/10370/2651/2146/10253/182/2260/6422/653/5594/90/9037/57556/57181/2131/54437/8829/9464/7422/2013/7042/10252/54756/2043/2042","Development"
"GO:0043542","endothelial cell migration",94,-0.527195043540032,-1.93789066175853,1.62098249085242e-05,0.00109504865553687,0.000958392353772072,1136,"tags=34%, list=17%, signal=29%","7046/4017/4780/3728/8817/6667/6868/1460/8613/2113/306/90627/10769/56999/2260/30844/9564/9037/1948/5587/8503/8829/3315/7422/5578/1012/949/4627/2013/9353/284/147372","Migration"
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway",273,-0.408202413772148,-1.67452165342546,1.6224356932305e-05,0.00109504865553687,0.000958392353772072,1436,"tags=33%, list=22%, signal=27%","23294/55294/5829/8874/1950/9978/84159/27342/57560/9185/858/285/10251/23390/3516/1432/84168/6272/5604/8473/1499/2064/6310/6774/9788/57142/89853/8817/27246/3481/3667/5562/5793/93649/9542/220164/6868/51232/30837/25976/57727/56034/1123/6760/64762/81792/2308/405/3717/23235/1398/1288/10253/2260/26999/653/5594/9564/9693/57556/2534/6198/1948/2131/4919/5587/2887/80310/8503/3554/8829/9846/3315/1946/7422/144165/26037/57732/1012/4643/23768/5295/9378/10252/2043/5140/284/147372/238/285220/2042","Signaling"
"GO:0021953","central nervous system neuron differentiation",86,-0.528625785601571,-1.92091645976703,1.77679800466678e-05,0.00118528955264806,0.00103737166245539,1689,"tags=47%, list=25%, signal=35%","6683/9334/1399/4983/57534/55681/2737/657/4781/57178/57688/5604/2909/3624/1499/3251/22882/2560/57057/91584/6092/57551/1398/6422/104/1009/9693/2736/8829/8543/5578/1600/27185/339479/6095/9378/2043/9353/6695/161357","Development"
