"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0010976","positive regulation of neuron projection development",79,-0.488837439959184,-1.77033673026595,0.00101626170212092,0.0327824189477436,0.0295738660239848,565,"tags=23%, list=8%, signal=21%","950/2260/2534/23242/5754/653/53335/27185/11141/5587/51761/5789/55714/91752/57118/1272/2042/57554","Development"
"GO:2000146","negative regulation of cell motility",131,-0.433920546736654,-1.69972450786235,0.0011765710260738,0.037436938527436,0.0337728282383126,837,"tags=25%, list=12%, signal=23%","4163/5931/64426/22846/8473/5911/7057/93649/7168/493/5728/84978/51474/54328/1602/23236/23380/4301/653/1992/6091/89927/182/90627/6422/56999/80031/90102/1009/2043/10718/6387/9353","Migration"
"GO:0003170","heart valve development",39,-0.59449724498975,-1.88422954780142,0.00122113153130724,0.0382247172854067,0.0344835037830887,303,"tags=23%, list=4%, signal=22%","171019/4878/6091/182/7042/56999/6586/1009/9353","Development"
"GO:0016042","lipid catabolic process",118,0.395867874331386,1.63011338944664,0.00130082999718151,0.0402839920517548,0.0363412286856845,1520,"tags=35%, list=23%, signal=27%","345557/10825/427/8605/6653/38/83667/64784/5336/4669/9663/8611/2110/5051/5332/5465/51/91452/7879/51390/3033/5467/32/3417/7067/1632/2720/3032/284161/130367/83752/80724/1374/55268/8310/55627/3073/285362/23111/10858/5191","Metabolism"
"GO:0030335","positive regulation of cell migration",202,-0.381222708703604,-1.58300184242572,0.00129691172894545,0.0402839920517548,0.0363412286856845,951,"tags=27%, list=14%, signal=24%","85440/64750/57142/949/7049/3685/10013/3717/9475/659/116150/2260/5911/9943/80310/7057/7060/5530/2195/80005/102/8613/306/55612/857/3690/10769/55140/83700/3315/7422/3091/10253/10371/8829/961/8754/171024/9037/10396/7074/5587/5295/7042/80031/3554/8828/5578/54437/59/2113/3912/57118/2043/6387","Migration"
"GO:0044281","small molecule metabolic process",643,0.269732409649129,1.33482113180828,0.00133119663121604,0.0407881465151963,0.0367960394359522,1535,"tags=30%, list=23%, signal=26%","27231/4883/2246/5150/5592/9619/64122/10060/10580/427/19/6389/5208/65084/2690/4779/26027/201163/8605/9540/108/38/83667/1291/1727/5336/115/5071/4259/126328/4967/9663/81539/2272/8611/4047/3422/6526/2110/10955/5255/6535/23516/5465/55304/2686/80221/2806/3992/4624/158219/51/6721/8604/3945/6390/10165/7415/2592/91452/59342/6622/28976/10891/51390/50484/11165/2773/128240/55967/6901/9497/79947/2766/3033/2079/80017/114879/2617/4707/93974/10560/8821/31/1431/2224/56922/4723/159/57103/5571/25819/50/284439/53343/5467/32/3417/3633/3419/23433/3418/55604/51360/25948/2805/3643/8034/4199/5832/51540/28992/11019/4719/9556/18/8720/23788/23038/160760/1632/2720/3094/84676/3032/5447/8850/4524/4200/6777/6720/5745/3705/5373/10768/57665/2170/2053/27122/6120/284161/3029/23530/130589/4790/130367/6307/9885/56997/5213/65985/83752/94081/4976/80724/1374/137872/23780/55268/6713/5007/8310/518/6934/114876/4482/9414/4204/23443/221937/2673/23382/4724/5034/10327/51380/22978/1806/8226/64087/117145/10858/8566/539/4712/3146/23729/137964/5191/57521/6482/23509/221443/7494/10632","Metabolism"
"GO:0021795","cerebral cortex cell migration",28,-0.64397871740541,-1.90026786588703,0.00134696043882828,0.0410539363223926,0.0370358152792508,565,"tags=43%, list=8%, signal=39%","57142/57178/2534/81565/23380/2737/27185/6091/89927/1600/3912/9353","Migration"
"GO:0016358","dendrite development",114,-0.440095195674729,-1.69054344466897,0.00137492480879952,0.0413236687533437,0.0372791478651709,639,"tags=24%, list=9%, signal=22%","5530/26115/5728/2534/2332/4205/23242/23043/54149/23380/10160/26037/653/53335/27185/10371/8829/57520/80243/11141/6383/144165/1600/5789/57118/2043/4147","Development"
"GO:0001501","skeletal system development",166,-0.39386261741227,-1.59488483329758,0.00140310333443381,0.0414256829631228,0.0373711775161054,923,"tags=27%, list=14%, signal=23%","860/59338/25902/960/2114/80781/7052/659/51141/2260/5358/23169/22856/8575/4664/25976/57560/9061/5125/6926/7227/7422/653/3091/2737/285590/5396/4774/2131/6422/7042/10265/57211/4325/56172/2778/2736/1305/1009/1462/158326/1301/861/4982","Development"
"GO:0072001","renal system development",130,-0.422551496125855,-1.65365090426351,0.00144471827993541,0.0418318177955299,0.0377375622279971,735,"tags=27%, list=11%, signal=24%","384/2260/80310/79659/93649/8854/5530/9788/6772/55366/25976/5754/3690/5125/7422/11174/2737/8829/26249/4774/1282/2131/2045/182/6422/7042/79191/144165/2736/59/231/255743/2043/51196/9353","Development"
"GO:0072331","signal transduction by p53 class mediator",93,0.421384348993403,1.66349313227072,0.00153137575175979,0.0441203829773181,0.0398021359307873,981,"tags=25%, list=15%, signal=21%","596/23645/16/83667/5071/6659/2272/80196/23368/51741/1026/29035/50484/545/2309/8533/133746/9099/4291/6880/117584/51065/3094","Signaling"
"GO:0019221","cytokine-mediated signaling pathway",161,-0.392624385498196,-1.58303044708071,0.00157375962892405,0.0451170396589067,0.0407012456401774,840,"tags=22%, list=12%, signal=20%","960/3717/90268/3551/83666/329/54625/9943/3597/3572/3661/102/3459/857/6772/867/23236/23352/3977/3091/3566/1896/2131/7357/6091/3556/5295/55504/3624/6586/3554/64332/83643/6387/4982/9353","Immune"
"GO:0060429","epithelium development",426,-0.317120024136919,-1.42245299835618,0.00170030309750869,0.047567416607115,0.0429117939127161,930,"tags=21%, list=14%, signal=19%","8609/57142/2908/23322/25902/23607/4926/3685/960/6431/3717/3189/4643/3551/9475/80781/7052/1832/659/694/384/2260/10116/84162/8854/5530/2195/3572/5728/55612/9788/857/6772/55366/57560/6498/23242/5754/81606/23236/3690/1266/6926/7422/5362/4301/83605/653/3091/10253/2737/5144/23648/8829/26249/8754/406/1282/1896/2131/7357/6091/2045/8543/147495/182/10628/90627/6422/55504/7042/79191/3624/144165/2778/2736/5230/9645/59/90102/231/2317/9423/255743/64478/64332/2043/83478/55182/9353","Development"
"GO:0002686","negative regulation of leukocyte migration",13,-0.755498941010283,-1.85602289393179,0.00171821305841924,0.0478373645255089,0.0431553208954186,478,"tags=31%, list=7%, signal=29%","23236/653/6387/9353","Migration"
